id	filename	md5	size	state
8cbad974-4671-499a-ab5e-03f0fbe3e7b1	TCGA-D8-A1XZ-01Z-00-DX1.8E51A61D-B01C-4A52-8F5D-44D2ABCA46FC.svs		1346496793	released
81100322-018d-4957-bec7-c1833e288434	TCGA-D8-A1Y0-01Z-00-DX1.10F40197-4174-43CC-AAD3-8CB85154FB2D.svs		844618225	released
cef89fd8-7528-41c4-a667-8f69cd17d1fc	TCGA-D8-A1Y1-01Z-00-DX1.477390C8-2141-4ADD-813E-25220D2A71FC.svs		2281277477	released
0dcc8304-dfd1-4e79-b23f-30f1143c897c	TCGA-E2-A14N-01Z-00-DX1.15F5644F-CA9F-4688-B56E-BCC00CA4769B.svs		1150642439	released
1f2ee37d-d49e-48d8-80c3-f4dbec3b4d02	TCGA-E2-A1IF-01Z-00-DX1.51F5B0AC-E4D6-439D-8168-34934471FA06.svs		1406211463	released
d813038d-b9e8-4af6-9578-626436be5d84	TCGA-E2-A1IG-01Z-00-DX1.C894EEA1-708A-4043-8C60-3BCA98AA751E.svs		1694914299	released
f05745bd-4371-431a-bd78-69f62e69f524	TCGA-E2-A1II-01Z-00-DX1.7F782477-0F92-4C57-8735-A1E3F95A6B94.svs		776577129	released
43f01a08-d111-43fb-809e-862f26e6ce8d	TCGA-E2-A1IK-01Z-00-DX1.25C554BB-AA90-4FF4-9D68-EEC899B8A27D.svs		1005865845	released
da64227b-4ebf-4407-a1d0-49ccea30f9bf	TCGA-E2-A1IL-01Z-00-DX1.46B6AA99-C7CE-4573-B15D-2C56A708B082.svs		1011957089	released
c2e4fe6d-db89-42df-9594-8ef7a6d11490	TCGA-E2-A1IN-01Z-00-DX1.F63F004F-847D-41B0-BAEF-3189D4965838.svs		595450873	released
363e72db-7642-4be2-b370-27a8d2a104c5	TCGA-E2-A1IU-01Z-00-DX1.E2F24814-24BA-4158-8841-F27A8E100589.svs		1030134735	released
a7ccf35e-56a9-4bd9-904c-59b1b0cc33b4	TCGA-E2-A1L6-01Z-00-DX1.AFE87067-2BFD-42C2-9334-9DDE8AB61B49.svs		1267611355	released
966c7061-a5e0-4340-8e51-2d5dd509c663	TCGA-E2-A1L7-01Z-00-DX1.BE796CD2-2E81-44E8-8CA2-85B4D2A31B64.svs		354195597	released
0279f555-9738-41e0-b89f-ded25829adc0	TCGA-E2-A1L9-01Z-00-DX1.F2CC1036-8EEE-4664-962E-541B8ACB10DE.svs		806303665	released
a1b58cd0-559e-467d-a193-96602cd3306f	TCGA-E2-A1LB-01Z-00-DX1.B4AFDB08-BA09-4F6E-806E-4054B790AB8E.svs		988511185	released
33f7413f-6339-4389-98dd-eee280233684	TCGA-E2-A1LH-01Z-00-DX1.F85384B7-1EBF-4F57-A45B-4A668B68E535.svs		1101526029	released
d7539c2a-21e3-437b-9070-b840b3083645	TCGA-E2-A1LL-01Z-00-DX1.D1AA1613-902C-4579-9612-48A76042B0AE.svs		908386325	released
4d80b284-86ef-4dd5-b09f-14bd6d171d9d	TCGA-E2-A1LS-01Z-00-DX1.9a43a58a-df40-4375-8456-ef0071bc9eb9.svs		748144081	released
0334c3e5-ea1f-4f55-bcc1-e8cd8b450921	TCGA-E9-A1N4-01Z-00-DX1.71c8d4a5-ec99-4012-9fe2-ddb3349ad5bc.svs		728785553	released
843d9a61-446f-47dc-b47a-8950f4e9f64a	TCGA-E9-A1N5-01Z-00-DX1.94DE7B4B-3798-4CC2-8A64-77796A58821A.svs		605310147	released
55230567-36e5-465f-b1e1-49d19e7fc8b9	TCGA-E9-A1N6-01Z-00-DX1.C0E8FFDC-2614-4DBF-B51E-4646A3919911.svs		655339379	released
5e92f89e-5470-4f37-9002-0bb397e7281b	TCGA-E9-A1N9-01Z-00-DX1.982C83A6-0E06-47B3-A7C7-1773A2CD1771.svs		514738671	released
b1a37b14-5979-41fe-9c93-0582a67cb3b5	TCGA-E9-A1NA-01Z-00-DX1.2A2FE8BB-621E-43A2-8449-F8FE730C0487.svs		321190323	released
03dde19f-f6f0-4b6b-a559-febbf532ca76	TCGA-E9-A1NC-01Z-00-DX1.20edf036-8ba6-4187-a74c-124fc39f5aa1.svs		316170629	released
4ffc6737-cc10-4394-b543-593e7f3ccedd	TCGA-E9-A1ND-01Z-00-DX1.5C2F5250-A3B2-4B97-9E11-56CF3C7CA2DB.svs		571954381	released
0f8ce6d5-182f-41eb-8a1e-fe3bda2dcbbf	TCGA-E9-A1NE-01Z-00-DX1.f332124a-cdab-4ab5-82d1-4b8b7f3c9821.svs		327486417	released
d0057c5b-a658-4259-9f05-aa310a8d1e74	TCGA-E9-A1NF-01Z-00-DX1.08779060-F710-45CB-A016-56D3C5B745E0.svs		778530835	released
d6429a7a-7c37-470e-9d25-b68cefe50fe1	TCGA-E9-A1NG-01Z-00-DX1.30d2a611-21ad-4ba0-a03c-31f36ecb83d5.svs		694552655	released
b5e8faf6-7f65-4048-afb5-16f919569b78	TCGA-E9-A1NH-01Z-00-DX1.20FF11B7-DAF0-41C2-B7C5-449BA5268EC0.svs		398032527	released
